artists_id,album_id,track_id,track_uri,track_name,track_release_date,track_date_added,track_duration_ms,track_popularity,track_position,is_explicit,country,timestamp,stream_count
3wOsYKZM0zcKNasi3I7fP4,1vva4fJyjXaJ2RDsGmIbCv,25M9piWxSsq0xLcjQW5yz6,spotify:track:25M9piWxSsq0xLcjQW5yz6,Bawa Dia Kembali,2023-01-23,2024-10-31T12:37:43Z,226773,79,21,False,Indonesia,2024-11-01,134491959
1NjxFrpEGZTV2Ny0OJxeWu,5uAcLj2EJLtQtKMyDYCI0Q,5eBk8ZXcd0pb0AO4a5PpOg,spotify:track:5eBk8ZXcd0pb0AO4a5PpOg,Gala bunga matahari,2024-04-30,2024-10-31T12:37:43Z,209693,80,22,False,Indonesia,2024-11-01,126946469
51kyrUsAVqUBcoDEMFkX12,1DAuVHMlBvIjzWZALSUXbn,2wAiFWjRupWmnDkQcu91MF,spotify:track:2wAiFWjRupWmnDkQcu91MF,Rumah Ke Rumah,2019-11-29,2024-10-31T12:37:43Z,277457,78,23,False,Indonesia,2024-11-01,332487217
20zafXaLhm5IcXnSU93rNn,75KyCmWatZRvlMcMRed9BG,630DpnzdfjdVqv2yLfPbAX,spotify:track:630DpnzdfjdVqv2yLfPbAX,Bertaut,2020-05-28,2024-10-31T12:37:43Z,315960,77,24,False,Indonesia,2024-11-01,387315889
53tuXn4uXfDqZYhAFMxZdt,0CzgGlTF8B68pXxcZhTjm5,4GUphFvzqaCHPDkS2VDn2I,spotify:track:4GUphFvzqaCHPDkS2VDn2I,Tunggu Apa Lagi,2024-09-05,2024-10-31T12:37:43Z,219352,74,25,False,Indonesia,2024-11-01,15328594
4AK6F7OLvEQ5QYCBNiQWHq,4gCNyS7pidfK3rKWhB3JOY,5O2P9iiztwhomNh8xkR9lJ,spotify:track:5O2P9iiztwhomNh8xkR9lJ,Night Changes,2014-11-17,2024-10-31T12:37:43Z,226600,90,26,False,Indonesia,2024-11-01,1810565097
1WX2v0BiEW19Vw7xmznLdZ,3zzIZJAYdeMttVROyFSUfN,5NmjnghJGJRFg34KGGx8O0,spotify:track:5NmjnghJGJRFg34KGGx8O0,Seandainya,2011-06-01,2024-10-31T12:37:43Z,263407,76,27,False,Indonesia,2024-11-01,265381241
"327ipGIr9bD3MkLb2eucqC, 66NmU5epI0ONGmdCRbLpmW",3oCPm4IKeaWJy666uZPKih,6xeqCawPZngDVqw2W2aGaR,spotify:track:6xeqCawPZngDVqw2W2aGaR,Kembali Pulang,2022-10-28,2024-10-31T12:37:43Z,207898,77,28,False,Indonesia,2024-11-01,222550617
4AhHkaGz7W2bKKJK90IaV2,4dyBsn9yy3PXeBgIEUvZI5,3y8RcMPYG22fRnrOi4oFJ1,spotify:track:3y8RcMPYG22fRnrOi4oFJ1,Nanti Kita Seperti Ini,2022-09-27,2024-10-31T12:37:43Z,209647,76,29,False,Indonesia,2024-11-01,223028066
1JvbNeV9zG9Sew1JyaWsyx,6gO5mDyNTqiIqHItRil4OG,26cvTWJq2E1QqN4jyH2OTU,spotify:track:26cvTWJq2E1QqN4jyH2OTU,Tak Segampang Itu,2022-12-02,2024-10-31T12:37:43Z,231100,78,30,False,Indonesia,2024-11-01,491278395
