artist_id,artist_uri,artist_name,artist_genres,artist_popularity,artist_follower,artist_image_url
16B3ICSQCPu4C6L5TEHXQe,spotify:artist:16B3ICSQCPu4C6L5TEHXQe,Rio Clappy,[],65,68353,https://i.scdn.co/image/ab6761610000e5ebe36a615b3a5dd61afaa3386d
1Cs0zKBU1kc0i8ypK3B9ai,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",90,26382680,https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f
1DlYnIiliftt6R21Y5NOW2,spotify:artist:1DlYnIiliftt6R21Y5NOW2,Adie,['opm'],69,3355469,https://i.scdn.co/image/ab6761610000e5ebf4310260df78494ba2b6d1a3
1EUmQM6xgUQLUkJVcvSdey,spotify:artist:1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,['opm'],65,2001817,https://i.scdn.co/image/ab6761610000e5eb719663793c37681fa3c21628
1HY2Jd0NmPuamShAr6KMms,spotify:artist:1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"['art pop', 'dance pop', 'pop']",92,32503928,https://i.scdn.co/image/ab6761610000e5eb4b09cd0839c6129c29d22f79
1Jmkhzve9TuXHUUWGmpANw,spotify:artist:1Jmkhzve9TuXHUUWGmpANw,Wxrdie,"['vietnamese hip hop', 'vietnamese melodic rap', 'vietnamese trap']",60,359872,https://i.scdn.co/image/ab6761610000e5eb718eb377685a3a392f8ed4a1
1JvbNeV9zG9Sew1JyaWsyx,spotify:artist:1JvbNeV9zG9Sew1JyaWsyx,Anggi Marito,['indonesian pop'],64,1259938,https://i.scdn.co/image/ab6761610000e5ebed4272c85f1a3442ee4a52aa
1L1VfizWn4DkFt602yD80U,spotify:artist:1L1VfizWn4DkFt602yD80U,ERIK,['v-pop'],62,937054,https://i.scdn.co/image/ab6761610000e5ebec6827805882ed3407b8cffd
1NjxFrpEGZTV2Ny0OJxeWu,spotify:artist:1NjxFrpEGZTV2Ny0OJxeWu,Sal Priadi,"['indonesian pop', 'malang indie']",71,912515,https://i.scdn.co/image/ab6761610000e5ebe0b0a8ea1627baec927037c3
1OIYKbmhG0RxPXvVPNj3NN,spotify:artist:1OIYKbmhG0RxPXvVPNj3NN,Madihu,"['indie viet', 'v-pop', 'vietnamese melodic rap']",53,251937,https://i.scdn.co/image/ab6761610000e5eb3bcc23d31e8962897b7d3e2c
1QAJqy2dA3ihHBFIHRphZj,spotify:artist:1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86,13337911,https://i.scdn.co/image/ab6761610000e5eb0e871e0389b9722cc12a4118
1Qia4CTwh6x0CZbD0079zi,spotify:artist:1Qia4CTwh6x0CZbD0079zi,CoolKid,['v-pop'],58,49247,https://i.scdn.co/image/ab6761610000e5ebdda5508935c3a230ba9f1690
1SIocsqdEefUTE6XKGUiVS,spotify:artist:1SIocsqdEefUTE6XKGUiVS,BABYMONSTER,['5th gen k-pop'],75,2788908,https://i.scdn.co/image/ab6761610000e5ebb419d66ef21661311c806bfe
1Tdy7LZnrufTyuEbgDi1D8,spotify:artist:1Tdy7LZnrufTyuEbgDi1D8,Muộii (Starry Night),[],50,939,https://i.scdn.co/image/ab67616d0000b27388e5078e96b04041e93a7f90
1Twi7NfmUzbXF7lEMaGCqF,spotify:artist:1Twi7NfmUzbXF7lEMaGCqF,Ink Waruntorn,"['t-pop', 'thai indie pop']",58,836492,https://i.scdn.co/image/ab6761610000e5ebdfca7b30f2938f459607e457
1U1el3k54VvEUzo3ybLPlM,spotify:artist:1U1el3k54VvEUzo3ybLPlM,Kali Uchis,['colombian pop'],86,8035659,https://i.scdn.co/image/ab6761610000e5eb51dfdac248da65a860963b68
1W2pigH6UYwuTuFbwoSfVZ,spotify:artist:1W2pigH6UYwuTuFbwoSfVZ,RHYDER,['v-pop'],66,308294,https://i.scdn.co/image/ab6761610000e5eb7930fac4aae6d581d9f49e1b
1WX2v0BiEW19Vw7xmznLdZ,spotify:artist:1WX2v0BiEW19Vw7xmznLdZ,Vierra,['indonesian pop'],69,1572312,https://i.scdn.co/image/ab6761610000e5ebce05aec92bc5b3e81205ff73
1Xyo4u8uXC1ZmMpatF05PJ,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,93796021,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
1ZT1OfVAO3kpOEHVejBxV8,spotify:artist:1ZT1OfVAO3kpOEHVejBxV8,Meiska,['indonesian pop'],65,427569,https://i.scdn.co/image/ab6761610000e5ebe213407a0d0910cdcadf6495
1aEKvjRnbf1laB7DVXFqsG,spotify:artist:1aEKvjRnbf1laB7DVXFqsG,fellow fellow,['t-pop'],63,315341,https://i.scdn.co/image/ab6761610000e5eb670dd49556014640e7c42678
1cPpd989kghzlZqfpP4KwL,spotify:artist:1cPpd989kghzlZqfpP4KwL,RAP VIỆT,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",62,1722852,https://i.scdn.co/image/ab6761610000e5eb9d2bdcb58736ac5fbd385d11
1chOgh5tgwfiyJ2zhUHwBj,spotify:artist:1chOgh5tgwfiyJ2zhUHwBj,Dionela,['opm'],73,780051,https://i.scdn.co/image/ab6761610000e5eb50069ac992d74c5610ecb9cc
1gBUSTR3TyDdTVFIaQnc02,spotify:artist:1gBUSTR3TyDdTVFIaQnc02,NCT DREAM,['k-pop boy group'],75,7957318,https://i.scdn.co/image/ab6761610000e5eb487454fb2db6c6363ff0fd13
1hMAGfvamVXuSWBFQRFMeq,spotify:artist:1hMAGfvamVXuSWBFQRFMeq,Over October,"['opm', 'pinoy indie', 'pinoy rock']",62,280578,https://i.scdn.co/image/ab6761610000e5eba43e2c2793604a3e541221fb
1iCnM8foFssWlPRLfAbIwo,spotify:artist:1iCnM8foFssWlPRLfAbIwo,Gigi Perez,['bedroom pop'],80,445268,https://i.scdn.co/image/ab6761610000e5ebe5ff5495fe99ee0fa0236087
1lg1jqQMMJQQFFMnkxn0zV,spotify:artist:1lg1jqQMMJQQFFMnkxn0zV,Ade Govinda,[],64,29159,https://i.scdn.co/image/ab6761610000e5ebadd8117c837c1235b2ae2f02
1mcqfNCReSFxun2vIWvC28,spotify:artist:1mcqfNCReSFxun2vIWvC28,KZ Tandingan,['opm'],65,1201168,https://i.scdn.co/image/ab6761610000e5eb4da6fa70b879e62a1e5c50cc
1oD9fKbb7qQ2nhn9JJC24F,spotify:artist:1oD9fKbb7qQ2nhn9JJC24F,Thắng,['v-pop'],54,200477,https://i.scdn.co/image/ab6761610000e5eb579763c716425127661bda67
1oSPZhvZMIrWW5I41kPkkY,spotify:artist:1oSPZhvZMIrWW5I41kPkkY,Jimin,['k-pop'],88,9770858,https://i.scdn.co/image/ab6761610000e5ebcb08296cca5a2d197caabb79
1pBLC0qVRTB5zVMuteQ9jJ,spotify:artist:1pBLC0qVRTB5zVMuteQ9jJ,Lily-Rose Depp,['pop'],77,209484,https://i.scdn.co/image/ab6761610000e5ebc2fb4b8e035fbdad27da865f
1pKPrziZw7C4GvOlBIXqP5,spotify:artist:1pKPrziZw7C4GvOlBIXqP5,Captain,[],59,103021,https://i.scdn.co/image/ab6761610000e5eb7116784c8dac5aef248a6923
1qAOsY7jv9GFTv4HoVof5P,spotify:artist:1qAOsY7jv9GFTv4HoVof5P,Three Man Down,"['t-pop', 'thai indie pop']",61,2030879,https://i.scdn.co/image/ab6761610000e5eb013b76dbf70fc11888902360
